x,y
0.000000,0.000000
0.210000,0.000000
0.413000,0.000000
0.616000,0.000000
0.826000,0.000000
1.029000,0.000000
1.239000,0.000000
1.442000,0.000000
1.645000,0.000000
1.848000,0.000000
2.058000,0.000000
2.261000,0.000000
2.464000,0.000000
2.480168,-0.017986
2.480099,-0.024986
2.478100,-0.227976
2.476101,-0.430966
2.474101,-0.633956
2.469285,-0.836602
2.471376,-0.829922
2.468985,-0.836501
2.471671,-0.830037
2.468696,-0.836373
2.468973,-0.836527
2.465170,-0.842403
2.469234,-0.836704
2.464916,-0.842214
2.469479,-0.836905
2.464681,-0.842003
2.469704,-0.837127
2.464466,-0.841771
2.469908,-0.837368
2.464273,-0.841521
2.470090,-0.837626
2.464103,-0.841254
2.470248,-0.837900
2.463958,-0.840973
2.470380,-0.838187
2.463839,-0.840681
2.470486,-0.838485
2.463747,-0.840378
2.470564,-0.838791
2.463682,-0.840069
2.470615,-0.839104
2.463645,-0.839755
2.470637,-0.839419
2.463637,-0.839439
2.470629,-0.839103
2.463629,-0.839123
2.470623,-0.839419
2.463787,-0.837710
2.263227,-0.806334
2.062666,-0.774959
1.855189,-0.742501
1.654629,-0.711126
1.454068,-0.679750
1.253507,-0.648375
1.052947,-0.616999
0.852386,-0.585623
0.651825,-0.554248
0.451265,-0.522872
0.326659,-0.434626
0.325938,-0.427663
0.326250,-0.427609
0.324596,-0.420807
0.324897,-0.420712
0.322340,-0.414196
0.322626,-0.414061
0.319211,-0.407950
0.319476,-0.407777
0.315268,-0.402184
0.315507,-0.401977
0.310582,-0.397003
0.310791,-0.396766
0.305239,-0.392503
0.310978,-0.396511
0.305064,-0.392766
0.305214,-0.392488
0.298849,-0.389576
0.298961,-0.389280
0.292260,-0.387255
0.278392,-0.385364
