t,count1,count2,cmd_left,cmd_right
899.015317,0,0,0.0,0.0
899.076344,0,0,0.0,0.0
899.137131,0,0,0.0,0.0
899.197776,0,0,0.0,0.0
899.258294,0,0,0.0,0.0
899.318752,0,0,0.0,0.0
899.379203,0,0,0.0,0.0
899.439648,0,0,0.0,0.0
899.500155,0,0,0.0,0.0
899.560581,0,0,0.0,0.0
899.620986,0,0,0.0,0.0
899.681467,0,0,0.0,0.0
899.741922,0,0,0.0,0.0
899.802364,0,0,0.0,0.0
899.862853,0,0,0.0,0.0
899.92326,0,0,0.0,0.0
899.983784,0,0,0.0,0.0
900.044252,0,0,0.0,0.0
900.104682,0,0,0.0,0.0
900.165149,0,0,0.0,0.0
900.225541,0,0,0.0,0.0
900.285937,0,0,0.0,0.0
900.346351,0,0,0.0,0.0
900.40676,0,0,0.0,0.0
900.467146,0,0,0.0,0.0
900.527573,0,0,0.0,0.0
900.587983,0,0,0.0,0.0
900.648377,0,0,0.0,0.0
900.708794,0,0,0.0,0.0
900.769235,0,0,0.0,0.0
900.83025,1,0,0.6,0.6
900.891149,2,1,0.0,0.0
900.951993,3,2,0.0,0.0
901.013031,4,3,0.0,0.0
901.073831,4,3,0.0,0.0
901.134453,4,3,0.0,0.0
901.194971,4,3,0.0,0.0
901.255415,4,3,0.0,0.0
901.315947,4,3,0.0,0.0
901.376548,4,3,0.0,0.0
901.437615,4,3,0.6,0.6
901.498807,5,4,0.6,0.6
901.561243,8,6,0.6,0.6
901.623165,10,9,0.6,0.6
901.685086,14,13,0.6,0.6
901.747001,18,16,0.6,0.6
901.809374,22,21,0.6,0.6
901.871506,26,25,0.6,0.6
901.933301,31,29,0.6,0.6
901.995301,36,34,0.6,0.6
902.057341,40,39,0.6,0.6
902.120266,45,44,0.6,0.6
902.183931,50,49,0.6,0.6
902.247876,55,54,0.6,0.6
902.311642,61,59,0.6,0.6
902.374783,66,64,0.6,0.6
902.440185,71,69,0.6,0.6
902.503401,76,74,0.6,0.6
902.567183,81,80,0.6,0.6
902.631073,86,85,0.6,0.6
902.694776,92,90,0.6,0.6
902.75772,97,95,0.6,0.6
902.822831,102,100,0.6,0.6
902.88586,107,105,0.6,0.6
902.950649,113,111,0.6,0.6
903.014146,118,116,0.6,0.6
903.097862,124,123,0.0,0.0
903.159792,129,127,0.0,0.0
903.221611,133,130,0.0,0.0
903.283815,136,133,0.0,0.0
903.345914,138,136,0.0,0.0
903.408483,140,138,0.0,0.0
903.47025,141,139,0.0,0.0
903.531648,142,140,0.0,0.0
903.592979,142,140,0.0,0.0
903.654009,142,140,0.0,0.0
903.71587,143,140,0.6,0.6
903.777557,144,141,0.0,0.0
903.839321,145,142,0.0,0.0
903.900944,146,143,0.0,0.0
903.962305,146,143,0.0,0.0
904.023794,146,143,0.0,0.0
904.085101,146,143,0.0,0.0
904.147407,146,144,0.6,0.6
904.20899,147,146,0.0,0.0
904.270752,148,147,0.0,0.0
904.333136,149,147,0.0,0.0
904.394608,149,148,0.0,0.0
904.455843,149,148,0.0,0.0
904.51753,149,148,0.6,0.6
904.599805,151,149,0.0,0.0
904.66195,152,150,0.0,0.0
904.723457,153,151,0.0,0.0
904.784934,153,151,0.0,0.0
904.84614,153,151,0.0,0.0
904.908043,153,152,0.6,0.6
904.990399,155,154,0.0,0.0
905.052553,156,155,0.0,0.0
905.113888,156,156,0.0,0.0
905.175265,157,156,0.0,0.0
905.236316,157,156,0.0,0.0
905.297272,157,156,0.0,0.0
905.358811,157,156,0.6,-0.6
905.419982,158,157,0.0,0.0
905.481625,159,158,0.0,0.0
905.542888,160,158,0.0,0.0
905.604641,160,158,0.0,0.0
905.665773,160,158,0.0,0.0
905.726872,160,158,0.0,0.0
905.787811,160,158,0.0,0.0
905.849444,160,158,0.6,-0.6
905.93179,162,160,0.0,0.0
905.993251,162,160,0.0,0.0
906.054791,162,160,0.0,0.0
906.116101,162,160,0.0,0.0
906.177035,162,160,0.0,0.0
906.237897,162,160,0.0,0.0
906.298741,162,160,0.0,0.0
906.359829,162,160,0.0,0.0
906.421004,162,160,0.0,0.0
906.483168,162,160,0.6,-0.6
906.546223,164,162,0.6,-0.6
906.609343,166,164,0.6,-0.6
906.6724,168,167,0.6,-0.6
906.734959,171,170,0.6,-0.6
906.798393,173,173,0.6,-0.6
906.861052,176,176,0.6,-0.6
906.923034,179,179,0.0,0.0
906.984544,181,180,0.0,0.0
907.046278,181,181,0.0,0.0
907.107421,181,181,0.0,0.0
907.168991,182,181,0.6,-0.6
907.230702,183,182,0.0,0.0
907.292384,183,183,0.0,0.0
907.353381,183,183,0.0,0.0
907.414297,183,183,0.0,0.0
907.475168,183,183,0.0,0.0
907.536698,183,183,0.6,-0.6
907.59849,184,185,0.0,0.0
907.660635,185,185,0.0,0.0
907.721945,185,185,0.0,0.0
907.783499,185,185,0.6,-0.6
907.845292,186,187,0.0,0.0
907.906594,186,187,0.0,0.0
907.96827,187,188,0.6,-0.6
908.029976,188,189,0.0,0.0
908.091735,188,190,0.0,0.0
908.153184,188,190,0.0,0.0
908.214198,188,190,0.0,0.0
908.275623,188,190,0.6,-0.6
908.357586,189,191,0.0,0.0
908.419983,190,192,0.0,0.0
908.48128,190,192,0.0,0.0
908.542148,190,192,0.0,0.0
908.603636,190,192,0.6,-0.6
908.685097,191,193,0.0,0.0
908.746866,192,194,0.0,0.0
908.80828,192,194,0.0,0.0
908.869332,192,194,0.0,0.0
908.930302,192,194,0.0,0.0
908.991284,192,194,0.0,0.0
909.052202,192,194,0.0,0.0
909.1137,192,194,0.0,0.0
909.174923,192,194,0.0,0.0
909.235913,192,194,0.0,0.0
909.297419,192,194,0.6,0.6
909.379448,193,196,0.0,0.0
909.441331,194,197,0.0,0.0
909.503402,195,198,0.0,0.0
909.564732,195,198,0.0,0.0
909.625689,195,198,0.0,0.0
909.686548,195,198,0.0,0.0
909.747463,195,198,0.0,0.0
909.808456,195,198,0.0,0.0
909.86947,195,198,0.0,0.0
909.931549,196,198,0.6,0.6
909.994743,197,200,0.6,0.6
910.05747,199,202,0.6,0.6
910.120931,202,205,0.6,0.6
910.184479,206,208,0.6,0.6
910.247719,210,212,0.6,0.6
910.311206,214,216,0.6,0.6
910.373424,218,221,0.6,0.6
910.435377,223,225,0.6,0.6
910.497278,227,230,0.6,0.6
910.560073,232,234,0.6,0.6
910.62228,237,239,0.6,0.6
910.683988,242,244,0.6,0.6
910.746324,247,249,0.6,0.6
910.808618,251,254,0.6,0.6
910.870765,256,259,0.6,0.6
910.934374,262,264,0.6,0.6
910.996215,266,269,0.6,0.6
911.057903,271,274,0.6,0.6
911.11995,276,279,0.6,0.6
911.182075,281,283,0.6,0.6
911.244335,286,288,0.6,0.6
911.306464,291,293,0.6,0.6
911.36838,296,298,0.6,0.6
911.430121,301,303,0.6,0.6
911.491783,306,308,0.6,0.6
911.553007,311,313,0.0,0.0
911.614571,315,317,0.6,0.6
